,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,class
KUSH,X11,PoW/PoS,5659096.95728771,9354000.0,-0.4738820643419322,1.3377762151109724,-0.1157353462176901,KushCoin,2
PRX,Scrypt,PoW/PoS,11821728.0,20000000.0,-0.4122838123823507,0.8232327858925377,0.3572699461866668,Printerium,2
PAC,X11,PoW,536982074.0,100000000000.0,0.7388650416411334,0.9809386123455403,-0.5357612866939485,PacCoin,2
IMPCH,Scrypt,PoW/PoS,308179.0,21933333.0,-0.4124384423212933,0.823197598417094,0.35727467835687693,Impeach,2
CTL,CryptoNight-V7,PoW,10969318.522954,185000000.0,-0.009669460851906925,-1.5043845125614972,1.336201230327674,Citadel,0
ZBC,Scrypt,PoS,2922613.96424908,55000000.0,0.09775334644088322,-0.6961657943436117,-1.342522487865967,Zilbercoin,4
FRST,Scrypt,PoW/PoS ,110000000.0,110000000.0,-0.47361302194343546,1.013687959486961,0.5699447880838382,FirstCoin,2
BVC,Scrypt,PoW,3115258.0,3360000.0,-0.22140283187731813,0.25337715292677926,-0.28021670029576773,BeaverCoin,2
FIND,X13,PoS,14524851.4827,14524851.4827,0.025888715808351948,-0.09586027282395737,-1.8944238677566463,FindCoin,4
VLTC,X11,PoW,30385540.0,1000000000.0,-0.2722851104419965,0.7701616062113612,-0.7510329842122162,VaultCoin,2
ZER,Equihash,PoW,6921653.89980891,17000000.0,-0.04213213715162921,-1.247459603884424,1.0993448553753498,Zero,0
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000.0,-0.38739691240511603,0.8286725968731051,0.35935585227126393,OpenChat,2
CDN,Scrypt,PoW,99843408.3158479,100000000.0,-0.21895954875582122,0.2539111348591687,-0.280010971487406,Canada eCoin,2
ZOI,Lyra2RE,PoW,18545757.5,21000000.0,-0.10331277988234061,-0.7328245818383342,0.6263705982619802,Zoin,0
RNS,Scrypt,PoS,36050365.0,34426423.0,0.09804610788009123,-0.6960962469578356,-1.3425687476554395,RenosCoin,4
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901.0,-0.03211992329235498,-1.3332712664995798,1.1781433601905167,DubaiCoin,0
XVP,X11,PoW/PoS,13162749.085802699,100000000.0,-0.47284971041987256,1.3379932170042321,-0.11553856266304119,VirtacoinPlus,2
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000.0,-0.16651867720634186,-1.2350780061578015,2.2492363742247568,TajCoin,0
IMX,X11,PoW/PoS,110630387.85047099,110000000.0,-0.4712734378268666,1.338346771490285,-0.11552128342585477,Impact,2
EB3,Scrypt,PoW,64096052.0,4000000000.0,-0.17996929402718945,0.26202447802098255,-0.27152801791196446,EB3coin,2
ATMOS,PoS,PoS,111135836.889,110290030.0,0.16134838061068937,-1.2102668831487498,-0.869424786059275,Atmos,4
HPC,X11,PoW/PoS,21521322.0099142,100000000.0,-0.4727232259006324,1.338021726063737,-0.11553894580353785,HappyCoin,2
CXT,NIST5,PoW,10123200.0,48252000.0,-0.1287461204303783,-0.5183845433490134,0.429354239541569,Coinonat,0
MCRN,PoS,PoS,401421401.0,400000000.0,0.168677631144062,-1.2086650359800644,-0.8688080610204504,MacronCoin,4
RAIN,X11,PoW/PoS,121665451.643876,500000000.0,-0.4671533323355311,1.3392079362793163,-0.11467365775270033,Condensate,2
IMS,Scrypt,PoW/PoS,5368934.0,21212121.0,-0.41236917175804266,0.8232133365050963,0.3572728779648892,Independent Money System,2
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000.0,-0.41235815429107364,0.8232145413304706,0.357289137821349,ArgusCoin,2
LMC,Scrypt,PoW/PoS,500000.0,1000000000.0,-0.40252165656040545,0.8252635454436634,0.3594016673798842,LomoCoin,2
PROC,SHA-256,PoS,100545745.0,75000000000.0,0.8895869472343594,-0.7948718763655371,-0.9430531481789753,ProCurrency,4
XGR,X11,PoW/PoS,17171382.0,40000000.0,-0.473397222770651,1.3378801930346846,-0.11566922817990033,GoldReserve,2
BENJI,Scrypt,PoW,20276099.146523997,35520400.0,-0.22081716433523438,0.2535035945198617,-0.28014754781679835,BenjiRolls,2
GRW,Scrypt,PoS,295135466.361878,2000000000.0,0.12189011838965853,-0.6910620510543871,-1.3383060983139556,GrowthCoin,4
ILC,SHA-256,PoW,1317747500.0,2500000000.0,-0.14550441344949736,0.005839502880089609,-0.038356315511507415,ILCoin,2
PHR,PoS,PoS,11390225.974277198,30000000.0,0.15902516296709285,-1.2107766321884452,-0.8695948203363738,Phreak,4
DEA,Scrypt,PoW/PoS,21358764.0,105000000.0,-0.41127791767121824,0.82344480102853,0.35745435820054366,Degas Coin,2
HTML5,X15,PoW/PoS,40659020000.0,90000000000.0,1.0329950401937984,1.8379888291308637,-0.07955731234737229,HTML5 Coin,2
USC,SHA-256,PoS,10343113.0,200084200.0,0.13003478229853935,-0.9531275882746717,-1.1057161024197666,Ultimate Secure Cash,4
EQT,Scrypt,PoW,13673406.4325268,72000000.0,-0.220547313670151,0.2535581049325566,-0.2800679131166937,EquiTrader,2
QTUM,POS 3.0,PoS,100000000.0,100000000.0,0.16619199175419347,-1.2532088373354842,-0.8300314513804402,QTUM,4
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000.0,-0.009601673858303128,-1.5043553897636563,1.3360245929727084,Quantum Resistant Ledger,0
ESP,536,PoW/PoS,22801882871.0,50000000000.0,0.7052439747663002,-1.2233744128152328,2.5145071083171944,Espers,0
DYN,Argon2d,PoW,19784224.6512734,0.0,0.039752970580674105,-1.9335675349436574,1.7299505267085706,Dynamic,0
NANO,Blake2b,PoW,133248297.0,340282367.0,0.024453419857531772,-1.7609330176273768,1.5730245288022375,Nano,0
CHAN,Cloverhash,PoW,18407259.0885883,30000000.0,0.009337676480137377,-1.6762154189044678,1.4935246191744775,ChanCoin,0
DCY,CryptoNight,PoW,1809467143.0,2000000000.0,0.04617602406453877,-1.5801821946102488,1.418896268093271,Dinastycoin,0
DNR,NIST5,PoW/PoS,4171382.0,10000000.0,-0.32040531119699667,0.05130518340999857,1.066722184509918,Denarius,0
DP,X11,PoW,35138975.0,100000000.0,-0.28133576340788546,0.7682773723989025,-0.7529904286357938,DigitalPrice,2
VUC,NIST5,PoW/PoS,62942075.0,120000000.0,-0.3184009924154403,0.0517379127607579,1.0669587071538285,Virta Unique Coin,0
BTPL,Skein,PoW/PoS,6804362.0,100000000.0,-0.42689811218982837,0.9520313336225694,0.23919854609687452,Bitcoin Planet,2
UNIFY,Scrypt,PoW,18133195.0,19276800.0,-0.22101423986577906,0.2534619854896561,-0.28018277448468987,Unify,2
BRIT,X13,PoW/PoS,21268092.0,30000000.0,-0.48366943996978307,1.4236375379469761,-0.19452156677184362,BritCoin,2
SOCC,Scrypt,PoW,5167775.0,75000000.0,-0.2206456149129764,0.2535354291143206,-0.28006099914687343,SocialCoin,2
ARC,X11,PoW,26042364.373555303,60000000.0,-0.28187886429462916,0.7681618817779137,-0.7530769995111264,ArcticCoin,2
DAS,X11,PoW,2622886.0,18900000.0,-0.28264985308483687,0.7679952165701533,-0.753165306020217,DAS,2
LINDA,Scrypt,PoW/PoS,9044930943.24243,50000000000.0,0.23101546521871108,0.9595806604553396,0.46554719988119575,Linda,2
XLC,CryptoNight,PoW,14161803.0,54000000.0,-0.0007161460357330701,-1.590414732441744,1.4147466026400926,LeviarCoin,0
ONION,X13,PoW/PoS,21917018.0492836,18898187.6216583,-0.483772150452245,1.4236163086071982,-0.1945457395859771,DeepOnion,2
BTX,Time Travel,PoW,17801865.1605478,21000000.0,-0.26193317833778273,0.5965224465433943,-0.5955006272421037,Bitcore,2
